,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,QT_APTOS,QT_COMPARECIMENTO,QT_ABSTENCAO,VOTOS_BRANCOS,VOTOS_NULOS,PCT_ABSTENCAO,PCT_BRANCOS,PCT_NULOS
74,PB,19747,PEDRO RÉGIS,10870,8137,2733,837,1509,25.14259429622815,10.286346319282291,18.54491827454836
75,PB,19755,CAJAZEIRAS,91824,76405,15419,12589,12111,16.7919062554452,16.47667037497546,15.851056868006019
76,PB,19763,ALCANTIL,9334,8166,1168,1032,1431,12.51339190057853,12.637766348273328,17.523879500367375
77,PB,19771,CALDAS BRANDÃO,10564,8811,1753,1273,1477,16.594093146535403,14.447849279309954,16.76313698785609
78,PB,19780,BARRA DE SANTANA,14856,12343,2513,1980,2741,16.915724286483574,16.0414810013773,22.206918901401604
79,PB,19798,CAMALAÚ,11970,9974,1996,1097,1486,16.6750208855472,10.99859635051133,14.898736715460196
80,PB,19801,CATURITÉ,9888,8552,1336,1031,1368,13.511326860841425,12.055659494855005,15.99625818521983
81,PB,19810,CAMPINA GRANDE,592988,514453,78535,81134,124678,13.243944228213724,15.770925623915112,24.235061317554763
82,PB,19828,RIACHO DE SANTO ANTÔNIO,4808,4135,673,260,433,13.997504159733776,6.287787182587666,10.471584038694076
83,PB,19836,CARRAPATEIRA,4604,3492,1112,124,437,24.152910512597742,3.5509736540664374,12.514318442153494
84,PB,19844,APARECIDA,13716,11561,2155,2026,1502,15.711577719451736,17.524435602456535,12.991955713173601
85,PB,19852,CATINGUEIRA,10628,8007,2621,931,999,24.66127211140384,11.627326089671538,12.476582989883852
86,PB,19860,SÃO FRANCISCO,8014,6918,1096,729,868,13.67606688295483,10.537727666955767,12.546978895634576
87,PB,19879,CATOLÉ DO ROCHA,42748,35908,6840,5246,5037,16.000748573032656,14.60955775871672,14.027514759942076
88,PB,19887,VIEIRÓPOLIS,10028,8137,1891,976,1278,18.857199840446746,11.994592601695956,15.706034164925647
89,PB,19895,CONCEIÇÃO,29004,23101,5903,2751,3754,20.352365191008136,11.908575386346913,16.250378771481756
90,PB,19909,AREIA DE BARAÚNAS,4312,3516,796,315,509,18.460111317254174,8.959044368600683,14.476678043230946
91,PB,19917,CONDADO,11096,8992,2104,698,1521,18.96178803172314,7.762455516014236,16.915035587188612
92,PB,19925,ALGODÃO DE JANDAÍRA,5986,4865,1121,618,812,18.727029736050785,12.702980472764647,16.69064748201439
93,PB,19933,CONDE,45302,37976,7326,6556,7295,16.171471458213766,17.26353486412471,19.20950073730777
94,PB,19941,BOA VISTA,11848,10450,1398,1592,2305,11.799459824442945,15.23444976076555,22.057416267942585
